muni_code_hecho|region
50350|Municipio desmilitarizado
50370|Municipio desmilitarizado
50400|Cercano zona desmilitarizada
50450|Cercano zona desmilitarizada
50568|Cercano zona desmilitarizada
50573|Cercano zona desmilitarizada
50577|Cercano zona desmilitarizada
50590|Cercano zona desmilitarizada
50606|Cercano zona desmilitarizada
50680|Cercano zona desmilitarizada
50683|Cercano zona desmilitarizada
50686|Cercano zona desmilitarizada
50689|Cercano zona desmilitarizada
50711|Municipio desmilitarizado
52001|Resto del país
52019|Resto del país
52022|Resto del país
52036|Resto del país
52051|Resto del país
52079|Resto del país
52083|Resto del país
52110|Resto del país
52203|Resto del país
52207|Resto del país
52210|Resto del país
52215|Resto del país
52224|Resto del país
52227|Resto del país
52233|Resto del país
52240|Resto del país
52250|Resto del país
52254|Resto del país
52256|Resto del país
52258|Resto del país
52260|Resto del país
52287|Resto del país
52317|Resto del país
52320|Resto del país
52323|Resto del país
52352|Resto del país
52354|Resto del país
52356|Resto del país
52378|Resto del país
52381|Resto del país
52385|Resto del país
52390|Resto del país
52399|Resto del país
52405|Resto del país
52411|Resto del país
52418|Resto del país
52427|Resto del país
52435|Resto del país
52473|Resto del país
52480|Resto del país
52490|Resto del país
52506|Resto del país
52520|Resto del país
52540|Resto del país
52560|Resto del país
52565|Resto del país
52573|Resto del país
52585|Resto del país
52612|Resto del país
52621|Resto del país
52678|Resto del país
52683|Resto del país
52685|Resto del país
52687|Resto del país
52693|Resto del país
52694|Resto del país
52696|Resto del país
52699|Resto del país
52720|Resto del país
52786|Resto del país
52788|Resto del país
52835|Resto del país
52838|Resto del país
52885|Resto del país
54001|Resto del país
54003|Resto del país
54051|Resto del país
54099|Resto del país
54109|Resto del país
54125|Resto del país
54128|Resto del país
54172|Resto del país
54174|Resto del país
54206|Resto del país
54223|Resto del país
54239|Resto del país
54245|Resto del país
54250|Resto del país
54261|Resto del país
54313|Resto del país
54344|Resto del país
54347|Resto del país
54377|Resto del país
54385|Resto del país
54398|Resto del país
54405|Resto del país
54418|Resto del país
54480|Resto del país
54498|Resto del país
54518|Resto del país
54520|Resto del país
54553|Resto del país
54599|Resto del país
54660|Resto del país
54670|Resto del país
54673|Resto del país
54680|Resto del país
54720|Resto del país
54743|Resto del país
54800|Resto del país
54810|Resto del país
54820|Resto del país
54871|Resto del país
54874|Resto del país
63001|Resto del país
63111|Resto del país
63130|Resto del país
63190|Resto del país
63212|Resto del país
63272|Resto del país
63302|Resto del país
63401|Resto del país
63470|Resto del país
63548|Resto del país
63594|Resto del país
63690|Resto del país
66001|Resto del país
66045|Resto del país
66075|Resto del país
66088|Resto del país
66170|Resto del país
66318|Resto del país
66383|Resto del país
66400|Resto del país
66440|Resto del país
66456|Resto del país
66572|Resto del país
66594|Resto del país
66682|Resto del país
66687|Resto del país
68001|Resto del país
68013|Resto del país
68020|Resto del país
68051|Resto del país
68077|Resto del país
68079|Resto del país
68081|Resto del país
68092|Resto del país
68101|Resto del país
68121|Resto del país
68132|Resto del país
68147|Resto del país
68152|Resto del país
68160|Resto del país
68162|Resto del país
68167|Resto del país
68169|Resto del país
68176|Resto del país
68179|Resto del país
68190|Resto del país
68207|Resto del país
68209|Resto del país
68211|Resto del país
68217|Resto del país
68229|Resto del país
68235|Resto del país
68245|Resto del país
68250|Resto del país
68255|Resto del país
68264|Resto del país
68266|Resto del país
68271|Resto del país
68276|Resto del país
68296|Resto del país
68298|Resto del país
68307|Resto del país
68318|Resto del país
68320|Resto del país
68322|Resto del país
68324|Resto del país
68327|Resto del país
68344|Resto del país
68368|Resto del país
68370|Resto del país
68377|Resto del país
68385|Resto del país
68397|Resto del país
68406|Resto del país
68418|Resto del país
68425|Resto del país
68432|Resto del país
68444|Resto del país
68464|Resto del país
68468|Resto del país
68498|Resto del país
68500|Resto del país
68502|Resto del país
68522|Resto del país
68524|Resto del país
68533|Resto del país
68547|Resto del país
68549|Resto del país
68572|Resto del país
68573|Resto del país
68575|Resto del país
68615|Resto del país
68655|Resto del país
68669|Resto del país
68673|Resto del país
68679|Resto del país
68682|Resto del país
68684|Resto del país
68686|Resto del país
68689|Resto del país
68705|Resto del país
68720|Resto del país
68745|Resto del país
68755|Resto del país
68770|Resto del país
68773|Resto del país
68780|Resto del país
68820|Resto del país
68855|Resto del país
68861|Resto del país
68867|Resto del país
68872|Resto del país
68895|Resto del país
70001|Resto del país
70110|Resto del país
70124|Resto del país
70204|Resto del país
70215|Resto del país
70221|Resto del país
70230|Resto del país
70233|Resto del país
70235|Resto del país
70265|Resto del país
70400|Resto del país
70418|Resto del país
70429|Resto del país
70473|Resto del país
70508|Resto del país
70523|Resto del país
70670|Resto del país
70678|Resto del país
70702|Resto del país
70708|Resto del país
70713|Resto del país
70717|Resto del país
70742|Resto del país
70771|Resto del país
70820|Resto del país
70823|Resto del país
73001|Resto del país
73024|Resto del país
73026|Resto del país
73030|Resto del país
73043|Resto del país
73055|Resto del país
73067|Resto del país
73124|Resto del país
73148|Resto del país
73152|Resto del país
73168|Resto del país
73200|Resto del país
73217|Resto del país
73226|Resto del país
73236|Resto del país
73268|Resto del país
73270|Resto del país
73275|Resto del país
73283|Resto del país
73319|Resto del país
73347|Resto del país
73349|Resto del país
73352|Resto del país
73408|Resto del país
73411|Resto del país
73443|Resto del país
73449|Resto del país
73461|Resto del país
73483|Resto del país
73504|Resto del país
73520|Resto del país
73547|Resto del país
73555|Resto del país
73563|Resto del país
73585|Resto del país
73616|Resto del país
73622|Resto del país
73624|Resto del país
73671|Resto del país
73675|Resto del país
73678|Resto del país
73686|Resto del país
73770|Resto del país
73854|Resto del país
73861|Resto del país
73870|Resto del país
73873|Resto del país
76001|Resto del país
76020|Resto del país
76036|Resto del país
76041|Resto del país
76054|Resto del país
76100|Resto del país
76109|Resto del país
76111|Resto del país
76113|Resto del país
76122|Resto del país
76126|Resto del país
76130|Resto del país
76147|Resto del país
76233|Resto del país
76243|Resto del país
76246|Resto del país
76248|Resto del país
76250|Resto del país
76275|Resto del país
76306|Resto del país
76318|Resto del país
76364|Resto del país
76377|Resto del país
76400|Resto del país
76403|Resto del país
76497|Resto del país
76520|Resto del país
76563|Resto del país
76606|Resto del país
76616|Resto del país
76622|Resto del país
76670|Resto del país
76736|Resto del país
76823|Resto del país
76828|Resto del país
76834|Resto del país
76845|Resto del país
76863|Resto del país
76869|Resto del país
76890|Resto del país
76892|Resto del país
76895|Resto del país
81001|Resto del país
81065|Resto del país
81220|Resto del país
81300|Resto del país
81591|Resto del país
81736|Resto del país
81794|Resto del país
85001|Cercano zona desmilitarizada
85010|Cercano zona desmilitarizada
85015|Cercano zona desmilitarizada
85125|Cercano zona desmilitarizada
85136|Cercano zona desmilitarizada
85139|Cercano zona desmilitarizada
85162|Cercano zona desmilitarizada
85225|Cercano zona desmilitarizada
85230|Cercano zona desmilitarizada
85250|Cercano zona desmilitarizada
85263|Cercano zona desmilitarizada
85279|Cercano zona desmilitarizada
85300|Cercano zona desmilitarizada
85315|Cercano zona desmilitarizada
85325|Cercano zona desmilitarizada
85400|Cercano zona desmilitarizada
85410|Cercano zona desmilitarizada
85430|Cercano zona desmilitarizada
85440|Cercano zona desmilitarizada
86001|Resto del país
86219|Resto del país
86320|Resto del país
86568|Resto del país
86569|Resto del país
86571|Resto del país
86573|Resto del país
86749|Resto del país
86755|Resto del país
86757|Resto del país
86760|Resto del país
86865|Resto del país
86885|Resto del país
88001|Resto del país
88564|Resto del país
91001|Resto del país
91263|Resto del país
91405|Resto del país
91407|Resto del país
91430|Resto del país
91460|Resto del país
91530|Resto del país
91536|Resto del país
91540|Resto del país
91669|Resto del país
91798|Resto del país
94343|Cercano zona desmilitarizada
94886|Cercano zona desmilitarizada
94001|Cercano zona desmilitarizada
94885|Cercano zona desmilitarizada
94888|Cercano zona desmilitarizada
94887|Cercano zona desmilitarizada
94884|Cercano zona desmilitarizada
94883|Cercano zona desmilitarizada
95001|Cercano zona desmilitarizada
95015|Cercano zona desmilitarizada
95025|Cercano zona desmilitarizada
95200|Cercano zona desmilitarizada
97001|Resto del país
97161|Resto del país
97511|Resto del país
97666|Resto del país
97777|Resto del país
97889|Resto del país
99001|Cercano zona desmilitarizada
99524|Cercano zona desmilitarizada
99624|Cercano zona desmilitarizada
99773|Cercano zona desmilitarizada
